섹션ID,섹션,질문,질문 해설,대화자(우선순 정렬),답변,도메인_의존성,메모
1,비즈니스 문제 정의,비즈니스 목표를 SMART 방식으로 정의했는가?,"SMART = Specific(구체적), Measurable(측정가능), Achievable(달성가능), Relevant(비즈니스 연계), Time‑bound(기한 명시). 숫자와 기간을 포함해 현실적으로 달성 가능한 목표로 작성하라는 뜻입니다.",PO/비즈니스 오너 ; PM/프로젝트 매니저 ; DS/데이터 사이언티스트 ; SME/도메인 전문가,"6개월 내 응급실 뇌졸중 환자의 치료 지연(door-to-needle) 60분 초과 비율을 20%p 낮추고, CT 판독 대기시간 중앙값을 38→23분으로 단축한다.",도메인-독립,
1,비즈니스 문제 정의,"북극성 지표(NSM)는 무엇이며, 왜 그 지표인가?",NSM은 장기 가치와 직결되는 단 하나의 핵심 지표입니다. 선택 이유·계산식을 함께 적습니다.,PO/비즈니스 오너 ; DS/데이터 사이언티스트 ; PM/프로젝트 매니저 ; SME/도메인 전문가,"NSM=‘치료 지연 60분 초과 비율’. 임상 안전성과 환자 결과에 직접 연결되고, 전사 KPI(응급실 체류시간)와 상관성이 높다.",도메인-독립,
1,비즈니스 문제 정의,현재 베이스라인(성과/비용/시간)은?,현재 상태를 수치로 고정해 이후 개선효과 비교 기준을 만듭니다(기간/표본/출처 포함).,DS/데이터 사이언티스트 ; DE/데이터 엔지니어 ; PM/프로젝트 매니저,"최근 3개월 평균 치료 지연 60분 초과 34%, CT 판독 대기 38분, 재검률 7.2%, 환자당 평균 추가비용 12만 원.",도메인-독립,
1,비즈니스 문제 정의,주 사용자/페르소나와 기대치는?,주 사용자(역할·목표·고통점)와 핵심 시나리오를 정의합니다.,UX/제품 ; PO/비즈니스 오너 ; PM/프로젝트 매니저,"응급의: triage 경보 정확/빠름, 방사선과: 오탐 최소·설명 제공, 코디네이터: 대시보드 통합.",도메인-독립,
1,비즈니스 문제 정의,업무 흐름 어디에 개입하는가?,모델이 어느 단계에서 어떤 입력/출력으로 의사결정에 기여하는지 명확히 합니다.,SME/도메인 전문가 ; UX/제품 ; MLE/ML 엔지니어 ; PM/프로젝트 매니저,CT 업로드 직후 전처리→의심소견 스코어링→우선 판독 큐 재정렬→의사 화면에 하이라이트/설명 제공.,도메인-독립,
1,비즈니스 문제 정의,범위(Scope-in)/비범위(Scope-out)는?,포함/제외 범위를 문서화해 범위 확산을 방지합니다.,PO/비즈니스 오너 ; PM/프로젝트 매니저 ; SME/도메인 전문가,"범위: 비조영 CT/CTA(성인), 응급실 케이스. 비범위: MRI, 소아, 외부 병원 전송 케이스.",도메인-독립,
1,비즈니스 문제 정의,비기능 요구(SLA/성능/가용성)는?,지연·처리량·가용성·오류율 등의 운영 품질 목표를 수치로 합의합니다.,MLE/ML 엔지니어 ; SRE/플랫폼/DevOps ; PM/프로젝트 매니저,"추론 지연 P95 ≤300ms/시리즈, 시스템 가용성 월 99.5% 이상, 에러율 P99 ≤0.5%.",도메인-독립,
1,비즈니스 문제 정의,규제/법무 제약은?,필수 규제/인증·PII 처리 요건을 식별하고 승인 절차를 정의합니다.,법무/컴플라이언스 ; Infosec/보안/IT ; PM/프로젝트 매니저 ; PO/비즈니스 오너,"의료기기 소프트웨어 인증 필요, PII는 가명처리·온프레 저장, 국외 이전 금지.",혼합,규제는 보편적 질문이지만 세부 법규는 도메인/지역별 상이
1,비즈니스 문제 정의,리스크 수용 기준·Go/No-Go 임계값은?,성공/중단/롤백 임계값과 승인 주체·흐름을 사전 합의합니다.,PO/비즈니스 오너 ; DS/데이터 사이언티스트 ; PM/프로젝트 매니저 ; MLE/ML 엔지니어,"파일럿에서 NSM 10%p 이상 개선 및 민감도≥0.90 달성 시 Go, 가드레일 초과(집단 격차>5%p) 시 보류.",도메인-독립,
1,비즈니스 문제 정의,의존성/가정과 RACI는?,역할별 책임(R/A/C/I)과 외부·내부 의존성을 명확히 합니다.,PM/프로젝트 매니저 ; PO/비즈니스 오너,"PACS API 안정성, GPU 노드 가용, 법무 승인. RACI: PO/의무기록팀/영상의학과/ML팀/보안팀 명시.",도메인-독립,
1,비즈니스 문제 정의,비ML 대안(규칙·프로세스 개선) 비교는?,비ML 대안과 비교해 ML의 추가 가치를 증명합니다.,PO/비즈니스 오너 ; DS/데이터 사이언티스트 ; SME/도메인 전문가,우선순위 큐 규칙 개선만으로는 지연 5분 단축 한계. ML 도입 시 15분 이상 단축 기대.,도메인-독립,
